itemID,definition,gloss,category,item,type,choices,complexity_category,uni_lemma
item_377,schreiben,write,action_words,schreiben,word,produces,,write
item_378,trinken,drink,action_words,trinken,word,produces,,drink (action)
item_379,stellen,put,action_words,stellen,word,produces,,put
item_380,kuscheln,cuddle,action_words,kuscheln,word,produces,,
item_381,beeilen,rush,action_words,beeilen,word,produces,,hurry
item_382,trocknen,dry,action_words,trocknen,word,produces,,dry (action)
item_383,nehmen,take,action_words,nehmen,word,produces,,take
item_384,laufen,run,action_words,laufen,word,produces,,walk
item_385,küssen,kiss,action_words,kussen,word,produces,,kiss
item_386,fallen,fall,action_words,fallen,word,produces,,fall
item_387,kaufen,buy,action_words,kaufen,word,produces,,buy
item_388,denken,think,action_words,denken,word,produces,,
item_389,teilen,share,action_words,teilen,word,produces,,
item_390,zeigen,show,action_words,zeigen,word,produces,,show
item_391,passen,fit,action_words,passen,word,produces,,
item_392,klatschen,clap,action_words,klatschen,word,produces,,clap
item_393,warten,wait,action_words,warten,word,produces,,
item_394,aufwachen,wake up,action_words,aufwachen,word,produces,,
item_395,schlafen,sleep,action_words,schlafen,word,produces,,sleep
item_396,malen,paint,action_words,malen,word,produces,,draw
item_397,zudecken,cover,action_words,zudecken,word,produces,,cover (action)
item_398,wischen,wipe,action_words,wischen,word,produces,,wipe
item_399,spritzen,splash,action_words,spritzen,word,produces,,splash
item_400,stehen,stand,action_words,stehen,word,produces,,stand
item_401,verstecken,hide,action_words,verstecken,word,produces,,hide
item_402,zeichnen,draw,action_words,zeichnen,word,produces,,draw
item_403,halten,hold,action_words,halten,word,produces,,hold
item_404,hauen,hit,action_words,hauen,word,produces,,hit
item_405,tanken,get petrol,action_words,tanken,word,produces,,
item_406,lesen,read,action_words,lesen,word,produces,,read
item_407,schmeißen,throw,action_words,schmeissen,word,produces,,throw
item_408,kaputt machen,break,action_words,kaputt_machen,word,produces,,break
item_409,bringen,bring,action_words,bringen,word,produces,,bring
item_410,reden,talk,action_words,reden,word,produces,,talk
item_411,sagen,say,action_words,sagen,word,produces,,say
item_412,schlagen,hit,action_words,schlagen,word,produces,,hit
item_413,füttern,feed,action_words,futtern,word,produces,,feed
item_414,tragen,carry,action_words,tragen,word,produces,,carry
item_415,werfen,throw,action_words,werfen,word,produces,,throw
item_416,fertig machen,get ready,action_words,fertig_machen,word,produces,,finish
item_417,gucken,look,action_words,gucken,word,produces,,watch (action)
